feature,importance
feature_1,0.045175906
feature_0,0.036349878
feature_3,0.034033526
feature_4,0.032422755
feature_7,0.031857606
feature_35,0.031522468
feature_19,0.031103134
feature_8,0.030842617
feature_29,0.030811686
feature_11,0.030402208
feature_34,0.029845115
feature_13,0.028822217
feature_12,0.028802047
feature_33,0.02814777
feature_32,0.028078847
feature_10,0.028047541
feature_6,0.02796692
feature_21,0.027919203
feature_16,0.027913047
feature_9,0.027677443
feature_30,0.026961453
feature_22,0.026801847
feature_28,0.026548326
feature_24,0.026046596
feature_31,0.025812708
feature_27,0.02527767
feature_25,0.025210712
feature_15,0.024915311
feature_17,0.024585627
feature_14,0.024174025
feature_23,0.022903172
feature_26,0.02248951
feature_2,0.021889543
feature_20,0.020181889
feature_18,0.019243049
feature_5,0.019216646
